name,type,price,area,price_per_sqm,maturity
"Borders Adandoned Land, easily expandable.",Mainland,3000,1536,1.95,Moderate
Georgiana,Mainland,3000,1536,1.95,Moderate
Fireheart,Mainland,3000,1024,2.93,Moderate
Ay Chabela,Mainland,3000,1024,2.93,Moderate
"Grossglockner MMI #48.168 ~512m, 175 prim, L$106/…",Mainland,3000,512,5.86,Moderate
For Sale Roadside L$3000,Mainland,3000,608,4.93,Moderate
Protected Atoll Waterfront,Mainland,3050,608,5.02,Moderate
~~~~~~ Sailable protected water way 512m 175 Li (…,Mainland,3070,512,6.0,Moderate
For Sale,Mainland,3072,3072,1.0,Moderate
~~ Tropical Waterfront - Available for Rent ~~~,Mainland,3111,1024,3.04,Moderate
"Apoda (54,60)Paynter Francis Estate",Mainland,3148,2048,1.54,Moderate
Tera Emmons HOME,Mainland,3150,512,6.15,Moderate
Midway Mermaid Art Gallery FOR SALE,Mainland,3200,512,6.25,Moderate
*****Road Protected Route 9 Premium Size Lot*****,Mainland,3250,1024,3.17,Moderate
Waterfront Beach,Mainland,3280,2560,1.28,Moderate
~~~~~~*Flat green Land*~~~~~~,Mainland,3290,1024,3.21,Moderate
Hotei/Budai Temple <3,Mainland,3333,512,6.51,Moderate
Wildflower Stargazer Hill (For Sale) (768 sqm) Ro…,Mainland,3333,768,4.34,Moderate
Easter Orb Glow Meadow 26-03-23 For Sale (768 sqm…,Mainland,3333,768,4.34,Moderate
Sea View - Sand - 896 sqm - 307 prims - Moderate,Mainland,3333,896,3.72,Moderate
Aloka Peace Dog Park (For Sale),Mainland,3333,512,6.51,Moderate
"Protected Water , Coastal Water way 1024sqm - Hel…",Mainland,3400,1024,3.32,Moderate
"Route 10, Protected Roadside 2048sqm - Craggen Ma…",Mainland,3400,2048,1.66,Moderate
Stoney's Beach,Mainland,3440,1376,2.5,Moderate
"1024sqm Unblockable View, Protected Edge",Mainland,3450,1024,3.37,Moderate
"1024sqm Unblockable View, Protected Edge",Mainland,3450,1024,3.37,Moderate
Land for Sale or Rent,Mainland,3456,1024,3.38,Moderate
2x Protected  www.pansland.com/roadside,Mainland,3498,1024,3.42,Moderate
"Antovic (236,240) Moderate 1024m",Mainland,3499,1024,3.42,Moderate
"Antovic (212,240) Moderate 1024m",Mainland,3499,1024,3.42,Moderate
For Sale,Mainland,3499,2560,1.37,Moderate
"~~~~~~~~~~~~~~~~~Protected Roadside 3,500L$",Mainland,3500,1024,3.42,Moderate
Sailable and Protected - Cosmet B,Mainland,3500,1024,3.42,Moderate
Charlie Sazaland Home Sweet Home,Mainland,3500,1024,3.42,Moderate
"Halfmoon (48,144) Moderate 1024m",Mainland,3500,1024,3.42,Moderate
dd,Mainland,3500,1024,3.42,Moderate
G.O.C.,Mainland,3500,4096,0.85,Moderate
PROTECTED ROADSIDE - FLAT LEVEL ROAD ACCESS,Mainland,3500,1024,3.42,Moderate
Unnamed Parcel,Mainland,3500,2048,1.71,Moderate
"Bruja MMI #120.240 ~1024m, 351 prims, L$211/week~…",Mainland,3500,1024,3.42,Moderate
Ex Tenebris,Mainland,3500,2048,1.71,Moderate
For Rent/Sale protected waterfront sunset >125L$/W,Mainland,3549,512,6.93,Moderate
Protected End Road,Mainland,3550,1024,3.47,Moderate
Tropical Island Free Week LUXURY RENTALS www.pans…,Mainland,3563,512,6.96,Moderate
640 sqm Land for Rent,Mainland,3699,640,5.78,Moderate
Ocean View - Snow Lands - Perfect for Modest Wint…,Mainland,3721,1536,2.42,Moderate
"Waterfront for SALE!! 1024 sqm 351 prims L$3,745",Mainland,3745,1024,3.66,Moderate
"Waterfront for SALE!! 1024 sqm 351 prims L$3,745",Mainland,3745,1024,3.66,Moderate
"Waterfront for SALE!! 1024 sqm 351 prims L$3,745",Mainland,3745,1024,3.66,Moderate
PROTECTED ROADSIDE - PLEASANT QUIET NEIGHBORHOOD,Mainland,3750,1024,3.66,Moderate
Ravenglass Rentals $282 Sailable Winter Waterfron…,Mainland,3750,1264,2.97,Moderate
SNOWSCAPE waterfront www.pansland.com/snow,Mainland,3798,1536,2.47,Moderate
Unfurnished multiscene houseboat #9 for Rent or S…,Mainland,3800,1024,3.71,Moderate
For Rent/Sale protected roadside commercial regio…,Mainland,3800,768,4.95,Moderate
Studio apartment skybox for rent or for sale,Mainland,3800,1024,3.71,Moderate
1024 - 100p skybox for RENT/SALE  #4,Mainland,3800,1024,3.71,Moderate
Rent 300p or own your own 351p skybox,Mainland,3800,1024,3.71,Moderate
1024 - 300 prim Skybox #5  for rent or sale,Mainland,3800,1024,3.71,Moderate
32 x 32 1024 sqm 300 prim skybox for rent  #2,Mainland,3800,1024,3.71,Moderate
1024 - 200p Skybox MultiScene homes for RENT sale…,Mainland,3800,1024,3.71,Moderate
MultiScene Unfurnished House boats for Rent or sa…,Mainland,3800,1024,3.71,Moderate
A SLRR Front Sagittata  2x Protected (M),Mainland,3888,2048,1.9,Moderate
A Rail Front Sagittata 2x Protected (M),Mainland,3888,2048,1.9,Moderate
Grass Rock 1024sqm,Mainland,3900,1024,3.81,Moderate
CHEAP GRASS 1152m  395 PRIM Jonestown,Mainland,3900,1152,3.39,Moderate
Protected Waterway nice www.pansland.com,Mainland,3988,1024,3.89,Moderate
2x PROTECTED Corner Roadside Professional and  Ro…,Mainland,3990,1024,3.9,Moderate
PROTECTED ROADSIDE + REZ ZONE  - BEACH TROPICAL L…,Mainland,3990,1024,3.9,Moderate
PROTECTED Roadside Near Rez Zone 32 x 32 Fairy La…,Mainland,3990,1024,3.9,Moderate
1024 Protected Road Mainland + Rezz Zone,Mainland,3995,1024,3.9,Moderate
~~~1024 Protected Road Mainland Level Plot,Mainland,3995,1024,3.9,Moderate
For Rent/Sale protected roadside + ocean views > …,Mainland,3999,1024,3.91,Moderate
UNBLOCKABLE SUNRISE OCEAN VIEW,Mainland,3999,512,7.81,Moderate
For Rent/Sale protected roadside + ocean views > …,Mainland,3999,1024,3.91,Moderate
For Rent/Sale protected New Bloom Mountain views …,Mainland,3999,1024,3.91,Moderate
PRIMS,Mainland,3999,1024,3.91,Moderate
PRIMS,Mainland,3999,1024,3.91,Moderate
Abstosspreis ***Hang P 7936m2,Mainland,3999,7936,0.5,Moderate
For Rent/Sale protected roadside in snowy land > …,Mainland,3999,1024,3.91,Moderate
"~LS~ Snow Roadside 512m $3,999",Mainland,3999,512,7.81,Moderate
512 PROTECTED ROADSIDE,Mainland,3999,512,7.81,Moderate
For Rent/Sale flat protected roadside commercial …,Mainland,3999,1024,3.91,Moderate
PREMIUM ~ Protected Roadside Flat (Sunset/Sunrise),Mainland,3999,1024,3.91,Moderate
"~LS~ Snowy 1024m $3,999 or $350w",Mainland,3999,1024,3.91,Moderate
1024 LAND FOR SALE - 351 Land Impact,Mainland,3999,1024,3.91,Moderate
ROAD,Mainland,3999,512,7.81,Moderate
Elite Snow,Mainland,4000,1024,3.91,Moderate
PREMIUM ~ Protected Roadside Flat Green (Rectangl…,Mainland,4000,2048,1.95,Moderate
*FOR SALE 512sq,Mainland,4000,1024,3.91,Moderate
"Canarun Skybox w/Fireplace and Loft, 300 l/week  …",Mainland,4000,1024,3.91,Moderate
"Canarun Skybox w/Fireplace and Loft, 300 l/week  …",Mainland,4000,1024,3.91,Moderate
PROTECTED Roadside + GIGA Rez Zone,Mainland,4000,1664,2.4,Moderate
"Animal House ""Free Overflow Parking""",Mainland,4000,1024,3.91,Moderate
Land for SALE,Mainland,4000,4096,0.98,Moderate
2026-04-08  Land For Sale (4096 sqm),Mainland,4000,4096,0.98,Moderate
2026-03-19  Land For Sale (4096 sqm),Mainland,4000,4096,0.98,Moderate
FOR SALE - 2048 - L$4.000,Mainland,4000,2048,1.95,Moderate
Hibiscus Current,Mainland,4000,1344,2.98,Moderate
1x Protected Unblockable Ocean Mainland,Mainland,4000,640,6.25,Moderate
LAND FOR SALE!,Mainland,4000,2032,1.97,Moderate
2026-03-19  Land For Sale (4096 sqm),Mainland,4000,4096,0.98,Moderate
Cosmet Corner,Mainland,4000,512,7.81,Moderate
Europa Fashion House - Leiter [M],Mainland,4000,2176,1.84,Moderate
2026-04-08  Land For Sale (4096 sqm),Mainland,4000,4096,0.98,Moderate
FOR SALE - 1536 - L$4.000,Mainland,4000,1536,2.6,Moderate
2026-03-30  Land For Sale (4352 sqm),Mainland,4000,4352,0.92,Moderate
"FOR SALE  2560 AREA,  878 PRIMS, 4000L",Mainland,4000,2560,1.56,Moderate
FOR SALE! Roadside!,Mainland,4050,2048,1.98,Moderate
2026-04-09  Land For Sale (4096 sqm) Route 8 acce…,Mainland,4096,4096,1.0,Moderate
Villaduntel,Mainland,4096,2048,2.0,Moderate
FOR SALE,Mainland,4096,4096,1.0,Moderate
Villaduntel,Mainland,4096,2048,2.0,Moderate
FOR SALE,Mainland,4096,4096,1.0,Moderate
For Sale,Mainland,4096,4096,1.0,Moderate
For Sale,Mainland,4096,8192,0.5,Moderate
"L$4,096 Priced to Sell  512 m2 #17",Mainland,4096,512,8.0,Moderate
"L$4,096 Priced to Sell  512 m2 #12",Mainland,4096,512,8.0,Moderate
Land for sale!,Mainland,4096,4096,1.0,Moderate
"L$4,096 Priced to Sell  512 m2 #11",Mainland,4096,512,8.0,Moderate
"Roadside, Route 14 - 703 prims",Mainland,4100,2048,2.0,Moderate
~M~ www.timodaehlie.com - TROPICAL WATERFRONT ~M~,Mainland,4111,992,4.14,Moderate
in sale ask for bonus,Mainland,4300,1024,4.2,Moderate
in sale make offer,Mainland,4300,1040,4.13,Moderate
Land for sale!,Mainland,4400,4400,1.0,Moderate
OceanView / Prim Bank Moderate Isabel,Mainland,4498,512,8.79,Moderate
sdHideaway -  No Entry,Mainland,4500,2048,2.2,Moderate
Nice View!!,Mainland,4500,1024,4.39,Moderate
St. Lion New,Mainland,4500,1552,2.9,Moderate
Land For Sale $4500L 1024sqm 351 Prims,Mainland,4500,1024,4.39,Moderate
- Large building platform  - 60x16,Mainland,4500,960,4.69,Moderate
Land For Sale $4500L 1024sqm 351 Prims,Mainland,4500,1024,4.39,Moderate
Protected Beautiful Green River,Mainland,4520,1536,2.94,Moderate
2048 [M] Sandy Beach LUXURY RENTALS www.pansland.…,Mainland,4698,2048,2.29,Moderate
2048 [M] Tropical waterfront Free Week RENTALS ww…,Mainland,4698,2048,2.29,Moderate
32x32 PROTECTED ROADSIDE - NO NEIGHBORS BOTH SIDES,Mainland,4750,1024,4.64,Moderate
MarkLand * 1024 sqm Flat Square Land for SALE or …,Mainland,4799,1024,4.69,Moderate
Abandoned Land,Mainland,4800,1024,4.69,Moderate
SNOWSCAPE Roadside Free Week LUXURY RENTALS www.p…,Mainland,4838,2016,2.4,Moderate
4096m - 1406 prim - L$899/wk,Mainland,4869,4096,1.19,Moderate
IN VENDITA - FOR SALE,Mainland,4900,1024,4.79,Moderate
~~ 1x Protected Ocean View Grid Edge - Available …,Mainland,4911,512,9.59,Moderate
1280sqm Sailable 3x Protected Ocellata 1,Mainland,4955,1280,3.87,Moderate
960sqm Sailable 2x Protected Catax 1,Mainland,4965,960,5.17,Moderate
960sqm Sailable 2x Protected Catax 2,Mainland,4968,960,5.18,Moderate
PROTECTED ROADSIDE - NEAR REZ ZONE - BEACH TROPIC…,Mainland,4990,1024,4.87,Moderate
PROTECTED Roadside + Rez Zone Nice Place + Wide a…,Mainland,4990,2048,2.44,Moderate
PROTECTED Riverfront 32 m Wide to the Sea of Fabl…,Mainland,4990,1024,4.87,Moderate
~~~1024 Protected Road Mainland Level 2 Entrances,Mainland,4995,1024,4.88,Moderate
1024 Protected Road Mainland 32x32 Level Plot,Mainland,4995,1024,4.88,Moderate
~~~1024 Protected Road Mainland,Mainland,4995,1024,4.88,Moderate
~~~1024 Protected Road Mainland Landscaped near R…,Mainland,4995,1024,4.88,Moderate
1024 Protected Road Mainland 32x32 (1) Fully Land…,Mainland,4995,1024,4.88,Moderate
1024 Protected Road Mainland 32x32 (2) Fully Land…,Mainland,4995,1024,4.88,Moderate
~~~1024 Protected Road Beach Mainland Level Plot,Mainland,4995,1024,4.88,Moderate
Rowan Magic Land 4 Sale! 512m 175 prims,Mainland,4999,512,9.76,Moderate
For Rent/Sale protected roadside commercial regio…,Mainland,4999,1024,4.88,Moderate
VERY NICE ROADSIDE FLAT 1024,Mainland,4999,1024,4.88,Moderate
MarkLand 1024 sqm Flat Square Land for SALE or RE…,Mainland,4999,1024,4.88,Moderate
"Protected Roadside, 6400 sqm, 2197 prims, rare st…",Mainland,4999,1024,4.88,Moderate
For Rent/Sale flat protected roadside in a nice r…,Mainland,4999,1024,4.88,Moderate
ROADSIDE FOR SALE 1024,Mainland,4999,1024,4.88,Moderate
Nox's Home,Mainland,4999,2048,2.44,Moderate
PROTECTED 1024 ROADSIDE,Mainland,4999,1024,4.88,Moderate
ROADSIDE FOR SALE,Mainland,4999,1024,4.88,Moderate
"~~~~~~~~~~~~~~~Water parcel, amazing view",Mainland,4999,1024,4.88,Moderate
For Rent/Sale protected Helfell Info hub > 250L$/W,Mainland,4999,1024,4.88,Moderate
For Rent/Sale 2x protected roadside + traverse ro…,Mainland,4999,1024,4.88,Moderate
"~LS~ Snowy Furnished Rent/Sale $4,999 or $350w",Mainland,4999,1024,4.88,Moderate
Next to Winterscape protected snow land,Mainland,4999,1024,4.88,Moderate
For Rent/Sale flat protected roadside in a nice r…,Mainland,4999,1024,4.88,Moderate
~~~~~~~~~~~~~~Water parcel in river,Mainland,4999,1024,4.88,Moderate
For Rent/Sale Protected Alpine Byway in a nice re…,Mainland,4999,1024,4.88,Moderate
NICE ROADSIDE 1024,Mainland,4999,1024,4.88,Moderate
Protected Ocean View - 512 sqm - 175 prims - Rent…,Mainland,4999,512,9.76,Moderate
PERFECT FLAT ROADSIDE 1024,Mainland,4999,1024,4.88,Moderate
MarkLand 1024 sqm Flat Square Grass Land for SALE…,Mainland,4999,1024,4.88,Moderate
Beautiful  Island Living  P3 - 992- 340 Objects  …,Mainland,5000,992,5.04,Moderate
fantastic location face to road 5k,Mainland,5000,1024,4.88,Moderate
512m - 175 prim - L$149/wk,Mainland,5000,512,9.77,Moderate
FOR SALE,Mainland,5000,2048,2.44,Moderate
phuckett.,Mainland,5000,4096,1.22,Moderate
FOR SALE - 2304sqm  - Quiet Region - Open water s…,Mainland,5000,2304,2.17,Moderate
Waterfront Property - lovely setting FOR SALE,Mainland,5000,1024,4.88,Moderate
... Perfectly Still,Mainland,5000,512,9.77,Moderate
Parcel for Sale - protected Roadside,Mainland,5000,1024,4.88,Moderate
Roadside 4128m,Mainland,5000,512,9.77,Moderate
Landfor sale,Mainland,5000,4096,1.22,Moderate
Your Prison,Mainland,5000,1024,4.88,Moderate
5UNBLOCKABLE SUNRISE VIEWS 512,Mainland,5000,512,9.77,Moderate
Unnamed Parcel,Mainland,5000,1024,4.88,Moderate
for rent 522/wk,Mainland,5000,512,9.77,Moderate
"512 Winter Mountain Sim, Sunset View Forever Home",Mainland,5000,512,9.77,Moderate
Roadside 4128m,Mainland,5000,512,9.77,Moderate
"Desert Heights Rent L$699 wk, Buy $L5000",Mainland,5000,1536,3.26,Moderate
Black Panther - Black Panther men's,Mainland,5000,2704,1.85,Moderate
Unnamed Parcel,Mainland,5000,2048,2.44,Moderate
Villa Bella,Mainland,5000,1024,4.88,Moderate
"Terminous (96,176) Moderate 1536m",Mainland,5000,1536,3.26,Moderate
Sucar Estates,Mainland,5000,512,9.77,Moderate
Tropical Water Free Week LUXURY RENTALS www.pansl…,Mainland,5000,512,9.77,Moderate
UNBLOCKABLE SUNRISE VIEWS 512,Mainland,5000,512,9.77,Moderate
PARALLAX  FLAGSHIP,Mainland,5000,5104,0.98,Moderate
~~~Beach Waterway~~~,Mainland,5000,512,9.77,Moderate
~~~~~~~~~~~~~~~Water parcel,Mainland,5000,1024,4.88,Moderate
SILO,Mainland,5000,8096,0.62,Moderate
"Roadside protected, ocean view 2048 -5k",Mainland,5000,2048,2.44,Moderate
Protected Access to 4 sim linden forest.  ATV all…,Mainland,5000,1024,4.88,Moderate
FOR SALE,Mainland,5000,512,9.77,Moderate
"MATRIX WORLD  Bagat (216, 243, 1001) - Moderate",Mainland,5000,1024,4.88,Moderate
FOR SALE,Mainland,5000,2048,2.44,Moderate
BEAUTIFUL UNBLOCKABLE BEACH,Mainland,5000,1024,4.88,Moderate
tiny m-class planet,Mainland,5000,1024,4.88,Moderate
Lark Landing,Mainland,5000,1152,4.34,Moderate
Jo's place,Mainland,5000,1024,4.88,Moderate
Roadside 2048sqm 5KL$,Mainland,5000,2048,2.44,Moderate
Home,Mainland,5000,1024,4.88,Moderate
Doesburg A Waterfront,Mainland,5000,1024,4.88,Moderate
2024-10-23 : Lou Herouin,Mainland,5096,1040,4.9,Moderate
For Rent/Sale Protected Alpine Byway in a nice re…,Mainland,5099,1024,4.98,Moderate
For Sale L$5100 - Crameri [M],Mainland,5100,512,9.96,Moderate
Beautiful Island,Mainland,5111,3664,1.39,Moderate
512 m2 175 Prims Protected Linden Volunteer Center,Mainland,5120,512,10.0,Moderate
Land for sale!,Mainland,5120,5120,1.0,Moderate
*Lionhead* 512 m2 175 prims  125 / Week,Mainland,5120,512,10.0,Moderate
*Lionhead* 512 m2 175 prims  125 / Week,Mainland,5120,512,10.0,Moderate
PROTECTED ROADSIDE - FLAT LAND - ROAD LEVEL,Mainland,5250,1024,5.13,Moderate
~~~~~~~~~~~~~~~~~~tropical waterfront 2048 www.pa…,Mainland,5498,2048,2.68,Moderate
~~~~~~~~~~~~~~~~~~tropical waterfront 2048 www.pa…,Mainland,5498,2048,2.68,Moderate
Sylectra's Haven,Mainland,5499,1024,5.37,Moderate
~~~~ FOR SALE - Beautiful White Sand Beach Fronta…,Mainland,5500,1280,4.3,Moderate
Land For Sale,Mainland,5500,1072,5.13,Moderate
"Flach,Sand,Wasser 5072",Mainland,5555,5072,1.1,Moderate
Protected Beautiful Green River,Mainland,5620,2048,2.74,Moderate
Water Paradise - Protected,Mainland,5735,512,11.2,Moderate
"2x Protected Roadside Pigra (26,246) Moderate 102…",Mainland,5750,1024,5.62,Moderate
PROTECTED ROADSIDE - BEACH TROPICAL LAND NEAR REZ…,Mainland,5750,1024,5.62,Moderate
For Rent/Sale protected roadside commercial regio…,Mainland,5760,576,10.0,Moderate
- Protected Roadside Store,Mainland,5780,800,7.23,Moderate
1024 sqm Square Roadside Land by Rez Zone Miliaco…,Mainland,5899,1024,5.76,Moderate
~~ 2x Protected Road Curve Route 2 - Available fo…,Mainland,5911,2048,2.89,Moderate
Unnamed Parcel,Mainland,5988,1024,5.85,Moderate
PROTECTED Riverside Wide Straight River + Extra L…,Mainland,5990,1024,5.85,Moderate
PROTECTED Roadside Road Level Very Nice Area 40 m…,Mainland,5990,2048,2.92,Moderate
~~~~1024 Protected Road Mainland Landscaped,Mainland,5995,1024,5.85,Moderate
512 Protected unblockable Ocean Waterfront Sailab…,Mainland,5995,512,11.71,Moderate
Edisto - Sailable protected waterfront,Mainland,5995,1024,5.85,Moderate
Dudyyy,Mainland,5999,1024,5.86,Moderate
PROTECTED Roadside + Rez Zone,Mainland,5999,512,11.72,Moderate
"~LS~ Snowy Protected Views 1024m $5,999",Mainland,5999,1024,5.86,Moderate
1024 ROADSIDE FOR SALE,Mainland,5999,1024,5.86,Moderate
PROTECTED Roadside + Rez Zone,Mainland,5999,512,11.72,Moderate
"~LS~ Snowy Protected 1024m $5,999",Mainland,5999,1024,5.86,Moderate
For Rent/Sale protected Linden beach +ocean front…,Mainland,5999,512,11.72,Moderate
ROADSIDE!,Mainland,6000,7760,0.77,Moderate
~Striped Estate~,Mainland,6000,512,11.72,Moderate
[Batter Splatter],Mainland,6000,1024,5.86,Moderate
"Namcha MMI #148.208~1280m, 439 prims, L$264/week~…",Mainland,6000,1280,4.69,Moderate
Roadside Hantu Rental 349prim L$349wk (L$6k to bu…,Mainland,6000,1024,5.86,Moderate
2x PROTECTED Roadside Sale SNOW Land 1024 sqm,Mainland,6000,1024,5.86,Moderate
FOR SALE,Mainland,6000,512,11.72,Moderate
< Shooting Area >,Mainland,6000,2048,2.93,Moderate
"Route 8C Rez Zone, Protected Roadside 4096sqm - T…",Mainland,6000,4096,1.46,Moderate
Parcel For Sale - 2112m - Access to sailable LL O…,Mainland,6000,2112,2.84,Moderate
Cherry's home,Mainland,6000,512,11.72,Moderate
Peaceful Home,Mainland,6000,2048,2.93,Moderate
Ess:::Snowlands 2:::,Mainland,6000,1408,4.26,Moderate
My Home,Mainland,6000,1024,5.86,Moderate
Unnamed Parcel,Mainland,6000,2048,2.93,Moderate
PREMIUM ~ Rectangle Protected Roadside with Water…,Mainland,6003,1024,5.86,Moderate
2048 Plot For Sale [Rental Options Available],Mainland,6144,2048,3.0,Moderate
eDens 4SALE: Protected Roadside 1024,Mainland,6150,1024,6.01,Moderate
CHEAP GRASSLAND 2048m  703 Prim Wallaroo [M],Mainland,6150,2048,3.0,Moderate
=M= 1x Protected Navigable Canal - Rent L$180 Wee…,Mainland,6201,672,9.23,Moderate
Land For Sale,Mainland,6400,6336,1.01,Moderate
LAND FOR SALE!!,Mainland,6500,2064,3.15,Moderate
Ordinary Games,Mainland,6500,2080,3.13,Moderate
"Protected Sailing on 50+ SIMs, Waterfront, 351 PR…",Mainland,6500,1024,6.35,Moderate
dw~OzWorkZ~ Mainland,Mainland,6500,2336,2.78,Moderate
640 sqm 2 x Protected Water Plot for SALE / RENT …,Mainland,6543,640,10.22,Moderate
PROTECTED ROADSIDE - FLAT BEACH TROPICAL AREA,Mainland,6750,1024,6.59,Moderate
- Protected Roadside Camp Site,Mainland,6850,1136,6.03,Moderate
For Rent/Sale protected roadside > 440L$/W,Mainland,6850,1744,3.93,Moderate
1280sqm Sailable 3x Protected,Mainland,6885,1280,5.38,Moderate
~~ 1x Protected Navigable Seafront - Available fo…,Mainland,6991,1024,6.83,Moderate
~~ 1x Protected Navigable Seafront - Available fo…,Mainland,6991,1024,6.83,Moderate
=M= 2x Protected Navigable Canal - Rent L$245 Wee…,Mainland,6994,1024,6.83,Moderate
1024 Protected Water Channel Sailing Gulf of Mole…,Mainland,6995,1024,6.83,Moderate
2048 Protected Road Mainland Level Plot,Mainland,6995,2048,3.42,Moderate
Protected Watefront Free Week LUXURY RENTALS www.…,Mainland,6998,2048,3.42,Moderate
Protected Waterfront Free Week LUXURY RENTALS www…,Mainland,6998,2048,3.42,Moderate
PERFECT SHAPED COBBLESTONE ROADSIDE 1024,Mainland,6999,1024,6.83,Moderate
"Nonsan MMI #192.144 ~2048m, 703 prims, L$422/week…",Mainland,7000,2048,3.42,Moderate
MultiScene Houseboat on water for RENT or sale  #…,Mainland,7000,1040,6.73,Moderate
Bait shop,Mainland,7000,5760,1.22,Moderate
Maison du Sable ::X-Sisters::,Mainland,7000,1024,6.84,Moderate
+!Astral Dust,Mainland,7000,1024,6.84,Moderate
MultiScene Houseboat on water for RENT    #15,Mainland,7000,1040,6.73,Moderate
2496 m2  -  856 prims  -  L$ 7.000,Mainland,7000,2496,2.8,Moderate
Pixie's Places,Mainland,7000,2048,3.42,Moderate
Take your Pick Sunset or Sunrise on Little Island…,Mainland,7085,3936,1.8,Moderate
=M= 1x Protected Navigable Canal - Rent L$205 Wee…,Mainland,7091,768,9.23,Moderate
Protected Atoll Waterfront,Mainland,7111,1024,6.94,Moderate
ISLAND (M),Mainland,7111,2048,3.47,Moderate
2024-10-23 : Lou Herouin,Mainland,7134,1456,4.9,Moderate
- Large Roadside Shops Route 10 (Rezz Zone Access),Mainland,7200,1024,7.03,Moderate
2x Protected Island,Mainland,7211,1024,7.04,Moderate
~~ 2x Protected LL Boardwalks - Available for Ren…,Mainland,7211,832,8.67,Moderate
Land for Rent,Mainland,7299,1840,3.97,Moderate
Ozza-2; 1024sqm; 351prims; RENT: 315L/wk; or SALE…,Mainland,7320,1024,7.15,Moderate
1536 sqm Land for Rent,Mainland,7399,1536,4.82,Moderate
1536 sqm Land for Rent,Mainland,7399,1536,4.82,Moderate
- Historical Protected Roadside,Mainland,7400,1024,7.23,Moderate
Protected Roadside - For Sale 1024m,Mainland,7400,1024,7.23,Moderate
~~ 1x Protected Navigable Seafront - Available fo…,Mainland,7411,512,14.47,Moderate
For Rent/Sale protected sailable water access > 2…,Mainland,7499,976,7.68,Moderate
"SALE,  Rent, Snow, 1536 sqm, 527 Prims, Flat, Win…",Mainland,7499,1536,4.88,Moderate
Johannie Magic Land 4 Sale!  2048m 703prims,Mainland,7499,2048,3.66,Moderate
Donatelli Beach Club,Mainland,7500,2048,3.66,Moderate
7500L,Mainland,7500,2048,3.66,Moderate
ELIERS WORLD,Mainland,7500,1024,7.32,Moderate
Protected Sailable Waterfront for Sale,Mainland,7500,1024,7.32,Moderate
"Wingo (76,100) Moderate 1024m",Mainland,7500,1024,7.32,Moderate
Waterfront - Moderate 1024m2,Mainland,7500,1024,7.32,Moderate
1024  351 prims,Mainland,7500,1024,7.32,Moderate
Andraca Camping - Protected Road - 2048,Mainland,7500,2048,3.66,Moderate
"Extra Prim or Deep Water Land - 1024 SQM, 32x32 -…",Mainland,7777,1024,7.59,Moderate
"Mindful Hill, Peaceful Dog Park (For Sale)",Mainland,7777,1024,7.59,Moderate
* Flat Land for Sale or Rent * 1536 sqm * Royier…,Mainland,7777,1536,5.06,Moderate
Studio apartment skybox for rent or for sale,Mainland,7899,2048,3.86,Moderate
GridEdge Sunrise Ocean View (M)~LIFE Properties  …,Mainland,7961,512,15.55,Moderate
UNBLOCKABLE Sailable Satori Sunset View,Mainland,7990,1024,7.8,Moderate
PROTECTED ROADSIDE - FLAT LAND - ROAD LEVEL,Mainland,7990,2048,3.9,Moderate
~~ 1x Protected Sailable Waterway - Available for…,Mainland,7991,1024,7.8,Moderate
"FOR SALE!  2X water access, 3968m2, 1362 prims",Mainland,7995,3968,2.01,Moderate
2048 Protected Road Mainland Level Plot (2),Mainland,7995,2048,3.9,Moderate
~~~2048 Protected Road Mainland Level Plot Landsc…,Mainland,7995,2048,3.9,Moderate
~~~2048 Protected Road Mainland,Mainland,7995,2048,3.9,Moderate
Cameo Land Sales,Mainland,7998,4096,1.95,Moderate
SNOW LAND UNBLOCKABLE,Mainland,7999,512,15.62,Moderate
"~LS~ Snowy Roadside Protected $7,999",Mainland,7999,2048,3.91,Moderate
snow land,Mainland,7999,1024,7.81,Moderate
"Protected roadside, water views, nice neighbourho…",Mainland,7999,2048,3.91,Moderate
The Cove,Mainland,8000,1664,4.81,Moderate
CAPUTXETA VERMELLA - Nord-oest - Marina,Mainland,8000,848,9.43,Moderate
Westland,Mainland,8000,1024,7.81,Moderate
2026-03-19  Land For Sale (8192 sqm),Mainland,8000,8192,0.98,Moderate
MyNewPlace Red Windsor,Mainland,8000,1024,7.81,Moderate
For Sale - 2304m - Public Access to sailable LL O…,Mainland,8000,2304,3.47,Moderate
For Sale,Mainland,8000,512,15.63,Moderate
Time Traveler Home,Mainland,8000,1024,7.81,Moderate
2026-03-19   Land For Sale (8192 sqm),Mainland,8000,8192,0.98,Moderate
Duckys mainland,Mainland,8000,1024,7.81,Moderate
"Chief MMI #20.228 ~2288m, 785 prims, L$472/week~R…",Mainland,8000,2288,3.5,Moderate
Lilly's mainland Home on the Northern Spur Road,Mainland,8000,1536,5.21,Moderate
"Water parcel, sea view, beautiful",Mainland,8000,1024,7.81,Moderate
"Sekmet MMI #236.170 ~2336m, 802 prims, L$482/week…",Mainland,8000,2336,3.42,Moderate
"Makalu MMI #236.70~2080m, 714 prims, L$429/week~R…",Mainland,8000,2080,3.85,Moderate
Unnamed Parcel,Mainland,8000,1024,7.81,Moderate
Ess:::Snowlands:::,Mainland,8000,2048,3.91,Moderate
land for sale  7040 linden,Mainland,8000,3520,2.27,Moderate
